                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 115.68,                      0,                      0,                      0,                      0,                      0,                      0,                  211.1,                      0,             0.00037154,             0.00037154,             0.00037154
                      2,                      0,                 90.187,                      0,                      0,                      0,                      0,                      0,                      0,                 130.15,                      0,             0.00070738,             0.00070738,             0.00070738
                      3,                      0,                 78.164,                      0,                      0,                      0,                      0,                      0,                      0,                 125.87,                      0,              0.0009923,              0.0009923,              0.0009923
                      4,                      0,                  68.76,                      0,                      0,                      0,                      0,                      0,                      0,                 122.53,                      0,              0.0011461,              0.0011461,              0.0011461
                      5,                      0,                 60.421,                      0,                      0,                      0,                      0,                      0,                      0,                 113.04,                      0,              0.0010517,              0.0010517,              0.0010517
                      6,                      0,                 53.803,                      0,                      0,                      0,                      0,                      0,                      0,                 127.03,                      0,             0.00095743,             0.00095743,             0.00095743
                      7,                      0,                 47.571,                      0,                      0,                      0,                      0,                      0,                      0,                 707.75,                      0,             0.00086312,             0.00086312,             0.00086312
                      8,                      0,                 42.438,                      0,                      0,                      0,                      0,                      0,                      0,                 87.934,                      0,              0.0007688,              0.0007688,              0.0007688
                      9,                      0,                 38.007,                      0,                      0,                      0,                      0,                      0,                      0,                 73.953,                      0,             0.00067449,             0.00067449,             0.00067449
                     10,                      0,                 34.464,                      0,                      0,                      0,                      0,                      0,                      0,                 65.951,                      0,             0.00058017,             0.00058017,             0.00058017
                     11,                      0,                 31.637,                      0,                      0,                      0,                      0,                      0,                      0,                 58.133,                      0,             0.00048586,             0.00048586,             0.00048586
                     12,                      0,                 29.423,                      0,                      0,                      0,                      0,                      0,                      0,                 72.819,                      0,             0.00039155,             0.00039155,             0.00039155
                     13,                      0,                  27.78,                      0,                      0,                      0,                      0,                      0,                      0,                  96.49,                      0,             0.00029723,             0.00029723,             0.00029723
                     14,                      0,                  26.66,                      0,                      0,                      0,                      0,                      0,                      0,                 213.96,                      0,             0.00020292,             0.00020292,             0.00020292
                     15,                      0,                 25.972,                      0,                      0,                      0,                      0,                      0,                      0,                 223.65,                      0,              0.0001086,              0.0001086,              0.0001086
